Timestamp,    What is your age?,What is your gender?,What Country do you reside in?, What State/Region do you reside in?, What career field are you interested in pursuing in the future?,Do you think getting mentorship is important to your career goals?,Have you received any assistance in relation to your career aspirations?,"If yes, how often do you need assistance/advice related to your career goals?",How valuable do you think mentorship is in helping you achieve your career goals?,Do you currently connect with mentors or professionals in your chosen career?  ,"If yes, how do you currently connect with mentors or industry professionals.",Have you ever faced challenges in finding a mentor who aligns with your career interests?,What challenges have you faced while getting a mentor?,How likely are you to use a platform that connects you with mentors in your chosen career field?,"
Do you have access to technology and the internet for educational purposes?",What features would you find most valuable in a platform connecting students with mentors?,How important is it for you to have access to teachers and counselors through an educational networking platform?,How likely are you to participate in webinars or training sessions related to your career interests?,How do you think a platform like the one described could improve your career development? List all applicable ideas.
3/19/2024 13:09:14,19 & above,Female,Ghana,Kumasi,mining,Yes,Yes,Monthly,Extremely valuable,Yes,Through online platforms,No,Technical know-how on getting a mentor..,Somewhat likely,Yes,Access to webinars and training materials,Very important,Somewhat likely,
3/20/2024 8:58:47,12 to 18years,Male,Nigeria ,Oyo,Military man  (air force),Yes,Yes,Daily,Extremely valuable,No,Nil,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum, ",Extremely important,Extremely likely,Nil
3/20/2024 9:04:45,12 to 18years,Male,Nigeria ,Oyo state ,Journalism,Yes,No,Weekly,Extremely valuable,No,,No,Lack of trusted and accountable mentors,Extremely likely,No,Ability to search for mentors based on career field,Extremely important,Extremely likely,It can make me become  who i want to become  through getting advice from my mentors
3/20/2024 9:06:07,12 to 18years,Male,Nigeria,Oyo,Lab scientist,Yes,No,Weekly,Extremely valuable,No,None,Yes,Accessibility to a mentor,Extremely likely,No,Ability to search for mentors based on career field,Extremely important,Extremely likely,It will be helpful
3/20/2024 9:09:24,12 to 18years,Female,Nigeria ,Oyo,Law,Yes,No,Daily,Extremely valuable,Yes,Through school programs,No,Lack of trusted and accountable mentors,Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum, ",Extremely important,Extremely likely,I don’t know
3/20/2024 9:12:09,12 to 18years,Female,Nigeria ,Oyo state ,Artist ,Yes,Yes,Daily,Extremely valuable,No,Nil,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum, ",Extremely important,Extremely likely,Nil
3/20/2024 9:16:18,12 to 18years,Male,Nigeria ,Oyo state ,Theatre art,Yes,No,Daily,Very valuable,No,,Yes,Accessibility to a mentor,Not likely at all,Yes,Ability to search for mentors based on career field,Very important,Not likely at all,I help achieve your goals 
3/20/2024 9:20:50,12 to 18years,Male,Nigerian,Oyo,Footballer,Yes,Yes,Weekly,Extremely valuable,No,,No,Lack of trusted and accountable mentors,Extremely likely,No,Ability to search for mentors based on career field,Extremely important,Very likely,"It will be helpful



"
3/20/2024 9:21:00,12 to 18years,Male,Nigeria ,Oyo state,Footballers ,Yes,No,Daily,Very valuable,Yes,Through online platforms,Yes,Financial barrier,Somewhat likely,Yes,Ability to search for mentors based on career field,Very important,Not likely at all,
3/20/2024 9:22:18,12 to 18years,Male,Nigeria ,Oyo,Artist,Yes,No,Daily,Extremely valuable,No,Nil,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,Nil
3/20/2024 9:25:02,12 to 18years,Male,Nigeria ,Oyo state ,Military man ,Yes,Yes,Daily,Extremely valuable,Yes,Through school programs,Yes,Accessibility to a mentor,Extremely likely,No,Access to webinars and training materials,Very important,Extremely likely,
3/20/2024 9:25:48,12 to 18years,Female,Nigeria ,Oyo,Theater art,Yes,No,Weekly,Very valuable,No,Through school programs,Yes,Lack of trusted and accountable mentors,Not likely at all,No,,Not important at all,Very likely,Advice on my career
3/20/2024 9:34:06,12 to 18years,Female,Nigeria ,Oyo,Doctor,Yes,No,Daily,Extremely valuable,No,Nil,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,Nil
3/20/2024 9:35:41,12 to 18years,Female,Nigeria ,Oyo,Make up artist ,Yes,No,Daily,Extremely valuable,No,Nil ,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:37:12,12 to 18years,Female,Nigeria ,Oyo,Nursing,Yes,No,Daily,Extremely valuable,No,Nil,Yes,"Technical know-how on getting a mentor.., Accessibility to a mentor",Extremely likely,No,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:39:00,12 to 18years,Female,Nigeria ,Oyo,Military ,Yes,No,Daily,Extremely valuable,No,,No,"Technical know-how on getting a mentor.., Accessibility to a mentor, Means of communicating with mentor",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:40:22,12 to 18years,Female,Nigeria ,Oyo,Banker,Yes,No,Daily,Extremely valuable,No,,Yes,"Accessibility to a mentor, Means of communicating with mentor",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:41:30,12 to 18years,Female,Nigeria ,Oyo ,Lawyer,Yes,No,Daily,Extremely valuable,No,,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,No,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:43:08,12 to 18years,Female,Nigeria ,Oyo,Art,Yes,No,Daily,Extremely valuable,No,,Yes,Means of communicating with mentor,Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:44:52,12 to 18years,Male,Nigeria ,Oyo,Military ,Yes,No,Daily,Extremely valuable,No,,Yes,Means of communicating with mentor,Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:47:05,12 to 18years,Female,Nigeria ,Oyo ,Actor,Yes,No,Daily,Extremely valuable,No,,Yes,"Accessibility to a mentor, Means of communicating with mentor",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 9:48:51,12 to 18years,Male,Nigeria ,Oyo,Media,Yes,No,Daily,Extremely valuable,No,,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 10:09:21,12 to 18years,Female,Nigeria,Oyo,Pharmacy ,Yes,No,Daily,Extremely valuable,No,,Yes,"Technical know-how on getting a mentor.., Access to resources ( A computer system and data), Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/20/2024 10:10:34,12 to 18years,Female,Nigeria ,Oyo,Painter,Yes,No,Daily,Extremely valuable,No,,Yes,Means of communicating with mentor,Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication",Extremely important,Extremely likely,
3/20/2024 10:11:42,12 to 18years,Male,Nigeria ,Oyo,Trader,Yes,No,Daily,Extremely valuable,No,,Yes,Technical know-how on getting a mentor..,Extremely likely,Yes,"Ability to search for mentors based on career field, Messaging and scheduling features for mentor-mentee communication",Extremely important,Extremely likely,
3/20/2024 10:30:14,12 to 18years,Female,Nigeria ,Kaduna,Pilot,Yes,Yes,Daily,Extremely valuable,Yes,Through personal connections,Yes,"Access to resources ( A computer system and data), Accessibility to a mentor",Very likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,
3/23/2024 9:52:47,12 to 18years,Female,Ghana ,Greater Accra ,Doctor ,Yes,No,,Extremely valuable,No,,Yes,"Technical know-how on getting a mentor.., Financial barrier, Accessibility to a mentor, Means of communicating with mentor, Lack of trusted and accountable mentors",Extremely likely,Yes,"Ability to search for mentors based on career field, Access to webinars and training materials, Messaging and scheduling features for mentor-mentee communication, Integration with school programs and curriculum",Extremely important,Extremely likely,It will help me know if am a good fit for that career. 
